time,concentration_relative_l2,concentration_max_abs,vorticity_relative_l2,vorticity_max_abs,velocity_relative_l2
0.0,8.949599497137846e-17,2.220446049250313e-16,1.7460217729303635e-16,1.4210854715202004e-14,9.077458369000445e-17
0.0925,4.754078976834883e-16,1.9984014443252818e-15,3.0824019621587145e-15,1.652011860642233e-13,1.1541212372766495e-15
0.185,5.994348265059076e-16,1.7763568394002505e-15,3.047124336947712e-15,7.815970093361102e-14,1.077970270014563e-15
0.2775,6.20359253672322e-16,2.1094237467877974e-15,2.5974871733190542e-15,3.907985046680551e-14,8.713212199417714e-16
0.3725,5.531414138388909e-16,1.27675647831893e-15,2.645989044077672e-15,4.085620730620576e-14,7.989581534358133e-16
0.465,5.131829049542435e-16,1.1102230246251565e-15,2.86381544262453e-15,3.8413716652030416e-14,8.012182683482236e-16
0.5575,4.899485689000893e-16,1.1102230246251565e-15,2.8353912643176632e-15,3.419486915845482e-14,7.365946642706663e-16
0.65,4.746350242036107e-16,8.881784197001252e-16,3.124408490741039e-15,3.3306690738754696e-14,7.425393120090218e-16
