time,concentration_relative_l2,concentration_max_abs,vorticity_relative_l2,vorticity_max_abs,velocity_relative_l2
0.0,0.0,0.0,0.0,0.0,0.0
0.0925,1.1485694064019412e-10,5.162066329944537e-10,4.076748566282106e-10,2.9930177447567985e-08,1.3645436760606983e-10
0.185,9.378718051688422e-11,3.3893343687196875e-10,2.407030138677667e-10,1.0083176960051787e-08,8.341395334133455e-11
0.2775,7.48837578857189e-11,1.9248158622531264e-10,1.4788808873086422e-10,2.8344082636522216e-09,6.157194462474763e-11
0.3725,6.116487821429049e-11,9.077544271818283e-11,1.1711249079304276e-10,1.2146195160767093e-09,5.460039184612744e-11
0.465,5.488318121248062e-11,8.247624805335363e-11,1.102254857863595e-10,8.159810604979612e-10,5.1980037559402796e-11
0.5575,5.059830901441403e-11,7.965961223987961e-11,1.0204450080825812e-10,5.115596835025826e-10,4.826079042112983e-11
0.65,4.7336819849254e-11,7.64869279024083e-11,9.287717804588616e-11,4.609335135796755e-10,4.4816103562491075e-11
